COMMUNICATION,QUALITY,PRICING,RESPECTING DEADLINES,ACCESIBILITY,MEETING EXPECTATIONS,EFFECTIVITY,CLASS
1,7,4,3,2,1,52.9385,0
4,4,4,5,3,3,67.64699999999999,1
4,9,4,5,1,3,76.46929999999999,1
4,6,1,1,1,4,50.001599999999996,0
3,3,1,7,4,2,58.822700000000005,0
4,3,3,1,4,3,52.9426,0
1,3,1,2,2,2,32.3526,0
2,7,3,2,1,2,49.9988,0
2,8,3,3,4,2,64.7039,1
1,1,1,4,4,2,38.2348,0
1,6,4,4,4,3,64.7039,1
1,3,1,4,4,4,49.99980000000001,0
1,7,4,2,3,2,55.880300000000005,0
3,8,3,7,2,3,76.4686,1
1,4,1,7,5,4,64.70450000000001,1
3,8,1,4,1,4,61.764399999999995,1
3,7,3,7,2,2,70.5861,1
2,1,4,2,1,1,32.3528,0
4,4,3,4,4,1,58.82300000000001,0
1,6,4,2,5,1,55.88,0
3,3,2,6,3,1,52.94010000000001,0
1,4,4,5,1,4,55.881299999999996,0
2,6,1,2,3,4,52.94130000000001,0
4,3,1,1,2,1,35.2952,0
2,7,1,1,1,1,38.234300000000005,0
3,5,1,1,1,2,38.2358,0
1,2,3,7,2,4,55.8814,0
4,4,1,2,4,3,52.942400000000006,0
1,5,4,4,5,2,61.7625,1
1,8,4,5,4,1,67.64339999999999,1
2,9,3,7,1,4,76.46830000000001,1
3,10,4,6,1,1,73.52619999999999,1
4,7,3,2,2,2,58.823299999999996,0
1,9,4,5,3,4,76.468,1
1,10,1,3,5,4,70.58630000000001,1
1,5,2,5,1,1,44.115399999999994,0
2,9,1,1,2,3,52.9404,0
4,2,4,7,5,3,73.5292,1
2,10,3,6,2,4,79.4094,1
3,4,4,4,4,3,64.7055,1
3,10,2,2,2,4,67.64649999999999,1
1,10,3,1,5,1,61.7617,1
4,5,4,6,2,3,70.5877,1
1,7,4,1,1,1,44.1156,0
3,2,3,3,1,4,47.06009999999999,0
3,7,1,3,3,4,61.76480000000001,1
1,1,3,7,4,2,52.9395,0
1,1,4,2,1,3,35.29429999999999,0
2,4,3,3,5,3,58.82299999999999,0
1,7,3,5,3,2,61.762,1
3,6,3,4,1,1,52.939800000000005,0
4,9,4,7,3,4,91.1749,1
3,8,1,4,2,3,61.76389999999999,1
1,5,4,2,1,1,41.1747,0
2,4,1,5,5,1,52.9396,0
1,2,4,7,1,3,52.9397,0
1,9,1,4,4,4,67.6452,1
2,10,2,3,3,4,70.58680000000001,1
3,10,4,3,3,2,73.5273,1
2,2,2,2,5,2,44.1177,0
3,9,1,4,4,2,67.6454,1
4,1,1,4,3,2,44.1188,0
2,5,1,7,1,4,58.8227,0
4,5,2,2,1,4,52.9426,0
2,3,1,1,5,2,41.176700000000004,0
4,1,3,7,1,1,49.999700000000004,0
2,2,1,3,3,2,38.2354,0
1,6,3,7,2,2,61.76180000000001,1
2,1,1,2,1,2,26.471400000000003,0
2,1,3,7,4,4,61.76440000000001,1
2,5,1,1,3,4,47.0595,0
2,10,3,5,5,3,82.3502,1
2,2,1,4,4,2,44.1174,0
3,9,1,1,5,1,58.8222,0
4,2,1,4,2,4,50.0018,0
3,2,2,5,5,2,55.8821,0
2,2,3,7,3,2,55.881,0
3,9,3,6,5,4,88.2335,1
2,7,1,2,4,3,55.88170000000001,0
1,2,2,5,5,2,49.9987,0
1,10,2,6,3,2,70.5846,1
3,2,3,5,3,2,52.9409,0
1,3,4,3,1,4,47.0586,0
4,9,4,3,2,1,67.64539999999998,1
1,10,1,1,2,4,55.88119999999999,0
1,8,1,4,4,1,55.87950000000001,0
4,4,4,3,2,3,58.82409999999999,0
4,3,4,2,3,2,52.9418,0
1,2,4,1,2,4,41.177,0
4,2,2,3,5,1,50.000400000000006,0
2,7,2,3,3,4,61.76410000000001,1
2,4,4,7,2,3,64.70429999999999,1
1,2,3,7,5,4,64.7047,1
2,10,1,2,5,2,64.7039,1
3,7,1,5,1,1,52.9396,0
2,4,3,4,3,3,55.881699999999995,0
3,4,1,5,1,1,44.1169,0
1,7,2,1,4,2,49.99850000000001,0
3,10,4,5,1,4,79.4101,1
4,1,2,6,1,1,44.1178,0
4,4,1,4,2,2,50.0004,0
1,10,3,4,5,1,70.58439999999999,1
3,4,4,1,3,4,55.883300000000006,0
3,10,2,2,2,4,67.64649999999999,1
4,1,4,6,2,1,52.9409,0
3,5,2,6,3,1,58.82190000000001,0
4,10,4,7,1,3,85.29199999999999,1
4,3,1,3,5,1,50.0003,0
1,1,2,5,2,1,35.292899999999996,0
1,1,1,4,5,3,44.11749999999999,0
2,5,3,1,2,2,44.1172,0
1,2,3,5,5,3,55.881299999999996,0
2,7,3,7,4,1,70.585,1
3,10,3,7,4,3,88.23259999999999,1
4,8,1,1,1,2,50.0002,0
3,4,3,1,1,2,41.1769,0
3,7,4,6,1,3,70.5867,1
2,8,2,2,1,3,52.94029999999999,0
2,1,2,2,5,3,44.118399999999994,0
2,1,3,4,3,3,47.059,0
3,7,1,2,5,2,58.822900000000004,0
4,4,4,3,4,2,61.7647,1
1,3,1,2,3,1,32.3521,0
1,10,1,4,1,4,61.7628,1
3,1,2,3,1,4,41.1782,0
2,3,3,7,5,4,70.5873,1
2,3,4,3,2,2,47.0582,0
2,8,2,5,3,2,64.70360000000001,1
2,4,3,4,3,4,58.8233,0
3,1,4,1,5,1,44.118,0
3,4,4,7,3,3,70.58709999999999,1
1,4,2,6,2,2,49.9981,0
4,4,2,6,3,2,61.764300000000006,1
4,3,1,1,5,2,47.060100000000006,0
2,8,1,6,2,3,64.70400000000001,1
4,4,2,6,2,3,61.764799999999994,1
4,4,2,4,3,3,58.8241,0
1,4,4,4,4,3,58.822100000000006,0
3,3,1,2,1,4,41.1781,0
1,8,3,3,1,1,49.997299999999996,0
4,9,2,6,1,4,76.4698,1
1,5,3,6,1,2,52.938900000000004,0
2,10,1,3,3,2,61.762600000000006,1
4,8,1,6,3,1,67.64529999999999,1
4,2,2,4,3,4,55.88390000000001,0
2,7,3,3,5,1,61.76250000000001,1
4,2,3,7,2,3,61.7649,1
4,4,1,2,2,4,50.0018,0
4,3,4,1,2,2,47.059799999999996,0
2,2,4,2,5,4,55.88290000000001,0
4,9,2,6,2,2,73.5277,1
1,8,2,2,5,1,55.8798,0
4,8,3,7,4,2,82.3509,1
3,6,2,1,1,1,41.1761,0
3,4,4,6,1,2,58.8224,0
1,7,1,2,3,3,49.99889999999999,0
1,3,2,7,3,1,49.9976,0
2,5,4,7,3,4,73.5279,1
2,8,1,1,1,1,41.175200000000004,0
4,10,4,3,4,1,76.46849999999998,1
4,3,1,7,4,1,58.8228,0
1,6,4,4,4,4,67.6455,1
2,4,3,2,2,1,41.175599999999996,0
4,10,4,4,1,3,76.46929999999999,1
3,8,2,1,4,3,61.764399999999995,1
3,3,3,2,5,2,52.941300000000005,0
1,7,1,7,2,1,55.8791,0
3,6,2,6,1,2,58.8222,0
4,3,4,7,4,4,76.4706,1
4,6,3,6,5,3,79.41090000000001,1
2,7,1,6,1,1,52.9388,0
2,5,1,7,1,1,49.9979,0
2,9,3,7,5,1,79.4079,1
4,4,2,6,1,1,52.9405,0
2,1,4,4,2,4,50.0005,0
2,1,3,6,1,1,41.1754,0
3,8,3,5,5,2,76.4685,1
2,2,3,4,1,4,47.05929999999999,0
1,4,2,5,1,4,49.99929999999999,0
1,5,2,4,5,3,58.82209999999999,0
2,8,1,5,4,4,70.5869,1
2,7,3,7,2,2,67.6444,1
2,4,2,6,1,2,49.9987,0
1,1,1,7,2,4,47.058499999999995,0
4,1,2,6,1,1,44.1178,0
4,5,3,7,1,2,64.7049,1
2,7,1,5,3,4,64.70490000000001,1
4,10,2,1,2,1,58.82249999999999,0
3,9,1,2,3,2,58.822500000000005,0
3,9,3,4,5,1,73.5269,1
1,7,3,2,2,1,47.056599999999996,0
3,5,3,6,1,1,55.8807,0
4,10,4,6,4,4,94.11599999999999,1
3,9,2,5,1,1,61.7624,1
3,2,4,6,1,4,58.823800000000006,0
1,8,1,6,1,2,55.8796,0
4,10,1,5,4,2,76.46889999999999,1
1,5,2,2,4,2,47.0576,0
1,5,2,5,3,3,55.880799999999994,0
2,3,3,6,2,4,58.8231,0
3,8,1,3,2,2,55.8814,0
1,4,3,7,1,2,52.938900000000004,0
3,9,4,4,2,2,70.58619999999999,1
4,7,3,3,1,2,58.823100000000004,0
4,10,3,5,4,4,88.2341,1
3,5,3,1,3,1,47.0584,0
3,3,3,4,3,3,55.88249999999999,0
1,9,2,3,1,3,55.88040000000001,0
2,9,2,4,1,4,64.7046,1
2,3,4,2,4,2,49.999500000000005,0
2,10,1,2,1,1,49.9979,0
1,3,2,2,2,4,41.1768,0
4,9,1,6,3,2,73.5278,1
2,2,4,4,1,3,47.0587,0
4,9,4,5,5,4,91.1753,1
4,4,2,7,4,3,70.5879,1
4,3,1,2,4,1,44.118300000000005,0
4,9,3,5,2,2,73.5278,1
3,6,4,7,4,1,73.5268,1
3,10,4,5,3,2,79.4091,1
4,1,3,5,3,3,55.88329999999999,0
4,2,3,3,4,2,52.94190000000001,0
4,5,3,6,5,1,70.5868,1
4,3,2,5,4,3,61.76520000000001,1
4,2,2,7,1,1,49.9996,0
4,4,2,7,1,2,58.823,0
1,3,2,3,2,1,35.2929,0
2,10,2,3,4,1,64.7031,1
1,3,1,5,3,2,44.1164,0
2,4,3,3,1,1,41.175399999999996,0
3,6,1,1,5,4,58.82430000000001,0
4,10,4,4,3,4,85.2931,1
4,10,3,4,3,3,79.4105,1
1,8,4,5,5,4,79.4093,1
1,5,2,6,4,2,58.821200000000005,0
4,2,1,5,3,1,47.059000000000005,0
1,6,4,3,1,1,47.0565,0
1,5,1,2,2,3,41.176,0
3,5,1,6,2,3,58.82299999999999,0
1,10,2,3,2,3,61.762399999999985,1
4,1,4,7,1,2,55.8823,0
3,4,1,3,5,4,58.82430000000001,0
1,6,1,5,3,3,55.880700000000004,0
1,4,2,6,4,3,58.8219,0
3,10,4,5,2,1,73.52639999999998,1
1,6,3,5,2,2,55.88,0
4,1,2,1,2,3,38.2376,0
1,10,2,5,4,3,73.52639999999998,1
1,9,2,7,1,2,64.7024,1
4,10,1,5,5,4,85.2932,1
3,7,1,3,4,1,55.8811,0
1,9,3,4,4,4,73.5272,1
4,5,2,7,1,1,58.8223,0
3,10,2,3,5,4,79.4107,1
2,7,1,5,5,2,64.7039,1
1,1,2,5,5,4,52.941,0
2,7,3,1,5,1,55.880700000000004,0
4,7,2,4,4,2,67.6463,1
4,8,2,3,3,3,67.6468,1
1,8,1,4,1,1,47.056200000000004,0
4,8,3,1,2,2,58.823299999999996,0
3,1,3,4,2,4,50.0012,0
3,2,1,3,2,1,35.2944,0
3,6,2,6,5,4,76.4698,1
3,10,2,5,3,1,70.5855,1
1,5,3,4,4,3,58.822,0
2,3,3,1,3,1,38.2349,0
3,3,3,4,2,4,55.882999999999996,0
1,2,3,5,4,4,55.8818,0
2,5,1,3,2,3,47.0586,0
1,2,2,3,4,1,38.2342,0
4,4,1,1,3,1,41.1772,0
2,9,2,1,1,4,55.8819,0
3,4,3,6,4,2,64.7047,1
3,8,2,4,1,4,64.7054,1
3,8,4,4,1,4,70.58739999999999,1
3,2,4,1,4,2,47.059400000000004,0
1,7,3,7,2,2,64.7027,1
2,1,1,2,3,4,38.2368,0
3,9,3,1,2,3,61.7641,1
3,5,3,6,5,3,73.52829999999999,1
2,4,1,1,5,1,41.175999999999995,0
3,9,3,7,4,2,82.3501,1
2,6,1,7,2,4,64.7047,1
2,5,4,5,5,4,73.5283,1
3,4,3,3,1,3,50.000299999999996,0
4,8,4,1,4,1,64.7049,1
4,9,3,3,5,4,82.3525,1
2,1,4,6,4,1,52.9397,0
3,5,2,2,1,2,44.1177,0
4,10,4,3,5,2,82.35119999999999,1
2,10,3,5,3,4,79.40960000000001,1
2,5,3,4,2,1,49.99829999999999,0
1,8,3,3,4,1,58.8206,0
1,4,3,6,1,4,55.88120000000001,0
3,1,4,3,4,2,50.0003,0
3,8,1,6,4,4,76.46950000000001,1
1,5,3,7,5,3,70.5858,1
1,3,4,4,4,3,55.88120000000001,0
4,9,1,6,1,1,64.704,1
1,6,1,6,3,2,55.88000000000001,0
2,6,2,4,5,2,61.76310000000001,1
4,2,1,2,3,3,44.1195,0
1,9,3,7,5,3,82.34939999999999,1
3,8,4,7,1,2,73.5269,1
4,9,2,6,4,3,82.35149999999999,1
1,10,1,6,3,3,70.5852,1
3,1,4,1,1,4,41.178399999999996,0
3,3,1,1,5,4,50.001599999999996,0
3,3,4,6,5,2,67.6459,1
4,7,1,6,3,3,70.5876,1
4,2,2,6,4,2,58.823600000000006,0
2,9,3,2,4,1,61.7623,1
3,4,3,2,3,4,55.8832,0
1,4,3,5,5,1,55.8799,0
4,4,4,6,5,2,73.5285,1
3,1,3,2,1,1,32.3535,0
2,4,1,7,4,2,58.82190000000001,0
1,2,4,7,2,3,55.880799999999994,0
2,7,3,1,2,4,55.8822,0
4,2,1,3,2,3,44.119299999999996,0
1,9,1,5,3,1,58.82020000000001,0
1,4,1,7,2,1,47.056400000000004,0
1,7,1,2,5,4,58.8227,0
1,7,1,7,3,3,64.7034,1
1,10,4,7,3,1,76.46589999999999,1
3,5,2,4,2,1,49.999,0
4,3,2,7,4,3,67.647,1
4,7,3,1,5,1,61.7641,1
1,10,2,2,5,4,70.5864,1
3,4,3,4,4,2,58.822900000000004,0
4,9,3,2,1,2,61.763999999999996,1
4,4,3,6,1,2,58.823100000000004,0
3,8,4,4,3,4,76.4696,1
1,8,1,3,3,4,58.82230000000001,0
4,3,2,4,5,1,55.882200000000005,0
1,8,2,7,5,1,70.5843,1
4,9,2,1,5,1,64.7049,1
3,7,3,2,2,2,55.8816,0
1,7,1,1,5,1,47.057,0
1,5,2,4,2,2,47.057199999999995,0
4,7,1,6,5,3,76.4698,1
2,9,3,4,1,4,67.6456,1
3,4,1,6,3,4,61.76480000000001,1
1,5,2,6,3,4,61.7633,1
2,1,2,3,2,2,35.2944,0
3,7,1,1,4,3,55.88250000000001,0
3,6,3,6,3,1,64.7038,1
4,4,2,5,2,3,58.823899999999995,0
2,4,1,6,5,3,61.7637,1
3,8,3,1,4,3,64.7054,1
3,9,3,6,3,1,73.5265,1
2,7,3,2,2,1,49.9983,0
3,9,1,2,2,2,55.8814,0
2,1,1,2,5,2,38.235800000000005,0
4,7,2,4,4,1,64.7047,1
3,7,3,2,4,2,61.7638,1
4,7,3,1,3,4,64.7067,1
2,4,4,3,5,2,58.8224,0
3,4,4,1,3,2,50.0001,0
2,6,1,4,5,1,55.880500000000005,0
4,3,2,7,4,3,67.647,1
2,1,1,3,1,4,35.295500000000004,0
3,6,3,2,4,4,64.7061,1
1,4,3,7,4,3,64.7038,1
3,5,1,5,3,4,61.76480000000001,1
2,3,2,4,5,3,55.882000000000005,0
2,1,3,4,1,2,38.235200000000006,0
4,3,4,3,3,4,61.7659,1
2,7,2,5,4,3,67.64540000000001,1
4,10,2,5,5,1,79.40939999999999,1
3,10,1,5,3,4,76.4693,1
1,6,3,1,5,4,58.822900000000004,0
2,6,3,7,1,4,67.6456,1
2,1,2,7,3,1,47.0575,0
2,4,2,7,3,3,61.76339999999999,1
4,5,2,1,3,1,47.059099999999994,0
1,3,3,7,1,2,49.998000000000005,0
4,1,3,6,3,3,58.824200000000005,0
4,6,3,6,3,3,73.5287,1
3,5,3,1,1,1,41.176199999999994,0
3,2,3,4,4,4,58.824299999999994,0
2,4,3,2,4,3,52.941,0
1,4,2,2,1,3,38.235,0
3,2,4,6,2,2,55.8817,0
4,1,1,1,4,1,35.2956,0
3,4,4,2,2,1,47.058299999999996,0
3,6,4,4,4,3,70.5873,1
2,8,4,1,2,2,55.8809,0
1,7,3,6,1,1,55.8791,0
4,4,3,7,3,3,70.5878,1
1,1,3,7,2,3,49.99889999999999,0
1,8,4,7,2,2,70.58460000000001,1
4,7,1,6,2,3,67.6465,1
1,10,3,5,3,4,76.4679,1
4,7,2,1,2,3,55.882999999999996,0
2,4,3,7,2,3,61.7633,1
2,8,3,6,1,2,64.7033,1
2,3,3,6,3,4,61.7642,1
2,9,1,3,5,4,70.5871,1
1,1,2,5,5,1,44.1162,0
2,6,1,5,2,4,58.822900000000004,0
4,7,3,2,2,1,55.881699999999995,0
4,4,3,1,1,3,47.060199999999995,0
4,8,1,5,5,3,76.46979999999999,1
1,3,4,2,4,4,52.941,0
1,4,2,2,3,1,38.234,0
2,7,4,2,1,4,58.82299999999999,0
1,5,2,4,5,1,52.9389,0
4,4,3,5,5,4,73.52980000000001,1
1,10,1,1,4,1,52.9386,0
3,3,2,5,3,2,52.94080000000001,0
3,7,1,5,2,1,55.8807,0
1,8,1,4,4,2,58.82110000000001,0
2,8,1,3,2,3,55.881299999999996,0
4,5,3,3,1,3,55.88290000000001,0
4,10,1,1,4,4,70.5885,1
1,5,2,2,3,2,44.1165,0
1,2,1,3,2,3,35.294200000000004,0
4,1,4,7,3,1,58.8229,0
1,4,4,1,3,4,49.9999,0
2,8,1,2,2,1,47.0572,0
1,2,2,3,5,1,41.1753,0
4,2,3,2,1,4,47.060900000000004,0
2,4,4,1,2,1,41.1757,0
1,10,4,4,3,4,76.468,1
2,6,2,4,3,4,61.76410000000001,1
4,7,3,1,4,3,64.7062,1
4,8,4,4,4,3,79.41079999999998,1
4,5,2,7,5,2,73.5283,1
1,8,1,7,4,2,67.6438,1
2,7,2,3,3,4,61.76410000000001,1
2,3,3,3,2,4,50.0004,0
2,10,1,3,1,3,58.822,0
3,7,4,1,3,2,58.8228,0
1,9,3,1,2,4,58.8223,0
2,5,2,7,2,1,55.879999999999995,0
3,6,4,2,1,1,49.998999999999995,0
1,4,3,7,1,1,49.9973,0
1,7,4,3,4,1,58.8207,0
3,5,1,1,2,4,47.06009999999999,0
3,7,1,3,4,3,61.764300000000006,1
2,5,1,2,5,4,55.8826,0
4,10,4,5,4,3,88.23349999999998,1
1,7,4,5,3,3,67.6446,1
1,4,4,5,3,1,52.938700000000004,0
1,7,4,3,3,2,58.821200000000005,0
4,3,4,5,2,1,55.88179999999999,0
3,10,4,3,2,2,70.58619999999999,1
4,7,1,3,3,4,64.7065,1
1,1,2,7,4,2,49.99850000000001,0
4,10,3,7,4,2,88.2327,1
1,4,1,2,3,1,35.293,0
1,7,4,7,4,1,70.5843,1
1,7,3,1,4,2,52.9395,0
2,3,3,4,5,2,55.8814,0
4,8,3,6,4,2,79.41,1
3,5,1,6,2,3,58.82299999999999,0
2,10,4,5,4,3,82.35009999999998,1
4,7,1,5,4,1,64.7046,1
4,1,4,6,2,4,61.765699999999995,1
3,9,2,1,1,1,49.998799999999996,0
1,1,2,6,5,3,52.94030000000001,0
4,6,2,6,1,2,61.76390000000001,1
1,4,1,7,3,3,55.880700000000004,0
4,3,2,2,4,4,55.884100000000004,0
1,7,3,7,3,3,70.58539999999999,1
1,1,4,7,5,1,55.88,0
3,9,4,2,5,4,79.4109,1
2,5,3,1,4,4,55.8826,0
1,2,2,7,5,4,61.7637,1
1,5,2,7,2,4,61.763099999999994,1
2,4,3,2,4,4,55.8826,0
3,7,4,6,2,3,73.5278,1
4,1,4,3,3,2,50.0009,0
3,2,1,7,5,3,61.7645,1
3,1,3,3,2,1,38.2355,0
3,4,3,1,1,2,41.1769,0
4,8,2,7,4,4,85.2931,1
2,7,2,4,1,1,49.998000000000005,0
3,2,1,1,4,3,41.178,0
3,2,3,1,3,3,44.1189,0
2,7,4,3,5,3,70.5867,1
2,2,2,2,2,4,41.1776,0
1,5,3,7,3,1,58.8204,0
4,5,3,2,1,3,52.94199999999999,0
1,9,2,3,1,3,55.88040000000001,0
3,2,1,3,2,2,38.236000000000004,0
1,6,3,7,3,1,61.76130000000001,1
2,5,3,4,4,1,55.8805,0
1,3,4,1,5,3,49.9996,0
4,2,4,2,5,3,58.82470000000001,0
1,8,2,6,5,3,73.5266,1
1,4,3,7,3,2,58.8211,0
3,10,4,6,2,1,76.46729999999998,1
1,2,2,1,1,2,26.4707,0
4,2,4,1,3,3,50.001599999999996,0
3,3,4,4,1,1,47.058099999999996,0
1,6,3,2,5,4,61.7638,1
2,9,3,2,4,3,67.6455,1
4,5,4,4,4,4,73.52969999999999,1
2,4,3,6,5,2,64.7041,1
3,9,4,7,5,3,91.17379999999999,1
4,10,2,3,4,3,76.46969999999999,1
2,5,3,4,1,4,55.88199999999999,0
3,3,3,5,3,4,61.765,1
2,9,4,4,2,4,73.5277,1
4,9,1,7,5,4,88.23410000000001,1
4,4,1,3,1,3,47.06,0
1,5,1,7,4,1,55.87950000000001,0
2,4,4,5,5,4,70.5874,1
4,5,4,5,4,2,70.58739999999999,1
4,10,2,7,1,1,73.5268,1
3,3,3,4,3,3,55.88249999999999,0
3,7,2,4,4,3,67.64620000000001,1
1,8,4,2,5,1,61.7618,1
4,9,3,4,3,1,70.5864,1
2,2,3,1,3,1,35.294000000000004,0
4,2,4,6,5,1,64.7051,1
2,4,4,4,4,4,64.7054,1
1,6,1,6,1,4,55.881,0
3,10,1,2,3,4,67.6466,1
2,3,3,1,2,1,35.2938,0
4,3,4,6,1,2,58.8232,0
4,3,2,4,1,3,50.001000000000005,0
4,3,3,6,1,2,55.882200000000005,0
2,1,3,7,5,3,61.76390000000001,1
1,7,2,6,4,3,67.64460000000001,1
2,9,4,1,5,3,70.5867,1
4,10,2,4,5,3,82.3517,1
3,9,2,3,1,3,61.7638,1
4,7,1,5,2,4,67.6472,1
1,8,2,5,5,2,67.64410000000001,1
1,1,1,7,3,1,41.1748,0
3,4,4,3,5,3,64.7057,1
3,4,4,5,5,3,70.58749999999999,1
2,8,2,3,1,1,49.998000000000005,0
4,5,4,1,4,2,58.8238,0
3,7,1,3,3,3,58.8232,0
3,4,4,4,4,3,64.7055,1
1,9,2,7,1,4,70.5856,1
1,6,2,3,4,4,58.82260000000001,0
4,6,1,2,2,2,50.0004,0
3,3,1,2,2,2,38.236,0
3,6,3,3,4,2,61.76380000000001,1
2,1,2,5,4,3,50.0,0
3,1,2,6,1,1,41.1761,0
3,7,1,5,1,1,52.9396,0
2,8,2,5,3,1,61.76200000000001,1
4,3,4,7,5,3,76.47009999999999,1
3,9,1,6,2,3,70.5866,1
1,1,3,4,1,3,38.2351,0
2,4,1,2,4,4,50.000600000000006,0
1,1,4,6,1,3,47.057900000000004,0
1,2,2,4,3,2,41.1756,0
4,9,4,3,3,2,73.5281,1
3,7,4,7,2,3,76.4687,1
1,5,3,2,4,3,52.940200000000004,0
1,10,3,1,1,4,58.82209999999999,0
1,10,1,1,2,3,52.9396,0
3,8,4,1,4,1,61.7632,1
2,9,2,7,3,1,70.5847,1
1,7,3,6,3,3,67.6445,1
2,10,2,6,1,2,67.6441,1
4,2,3,4,2,1,47.059000000000005,0
1,4,4,7,1,4,61.763099999999994,1
2,9,1,7,2,2,67.6442,1
4,7,3,3,3,3,67.6469,1
4,8,2,3,2,4,67.6473,1
1,8,4,1,5,2,61.7625,1
2,6,1,5,5,1,58.821400000000004,0
1,4,1,2,1,2,32.3524,0
3,5,3,5,4,1,61.763099999999994,1
2,1,2,2,5,1,38.2352,0
3,8,3,6,3,1,70.5856,1
1,3,1,6,4,1,47.05680000000001,0
3,3,1,5,3,3,52.9414,0
1,2,3,7,1,1,44.1155,0
4,2,1,1,2,1,32.3543,0
2,6,1,2,1,3,44.11750000000001,0
1,9,4,7,3,4,82.3498,1
4,9,1,6,4,2,76.4689,1
3,9,2,2,3,4,67.6467,1
2,7,1,5,3,2,58.82170000000001,0
2,10,1,4,3,3,67.6451,1
3,3,3,6,3,2,58.82270000000001,0
2,2,2,1,4,2,38.2357,0
4,10,1,4,5,3,79.41069999999999,1
1,7,4,5,5,2,70.5852,1
2,8,1,5,4,2,64.7037,1
4,6,1,7,1,2,61.7638,1
3,3,4,2,4,2,52.9412,0
3,3,4,4,2,4,58.824,0
4,2,4,1,3,3,50.001599999999996,0
1,1,1,5,5,2,44.1168,0
1,3,2,4,4,4,52.940799999999996,0
3,4,3,4,2,4,58.823899999999995,0
2,1,2,1,2,4,35.2958,0
3,7,4,2,2,1,55.88099999999999,0
1,9,3,3,1,3,58.8214,0
3,6,3,1,3,2,52.9409,0
1,2,2,6,5,2,52.939600000000006,0
2,5,1,2,5,3,52.941,0
2,4,4,7,1,1,55.879999999999995,0
3,2,3,2,5,3,52.94199999999999,0
2,2,1,2,3,3,38.2361,0
4,1,4,3,5,3,58.82469999999999,0
3,3,1,4,4,4,55.8832,0
3,5,3,6,2,4,67.64659999999999,1
4,6,2,7,4,3,76.4697,1
4,7,3,4,5,1,70.5868,1
4,3,2,2,5,2,52.942,0
1,1,2,6,1,1,35.2927,0
2,8,1,1,3,1,47.05740000000001,0
2,3,4,3,5,2,55.8815,0
2,1,2,2,1,2,29.412399999999998,0
4,10,1,3,2,4,70.5881,1
4,5,4,6,3,2,70.5872,1
1,2,3,3,1,3,38.2351,0
2,8,4,1,4,3,64.7047,1
4,4,2,5,1,2,52.9412,0
4,3,1,2,4,4,52.9431,0
2,9,4,1,3,2,61.7629,1
1,8,3,5,2,1,58.82019999999999,0
1,6,3,5,4,2,61.76220000000001,1
